transaction_amount,income,device_fraud_count,account_age_days,transaction_hour,is_foreign_ip,month,fraud_bool
451.45,90366.8979351644,1,282,22,0,2,0
127.99,47247.17024102548,1,2387,13,0,5,0
73.2,79228.8254576292,0,1852,10,0,8,0
280.03,55798.53919101825,1,1216,10,0,1,0
89.12,98854.44559938952,1,3448,16,0,8,0
127.48,50051.63247011127,1,3039,14,0,5,0
235.04,77806.283205049,1,2443,7,0,1,0
202.38,95429.82057686496,0,2091,8,0,4,0
195.45,62270.25297664907,0,3022,14,0,10,0
240.8,71072.9096698562,0,2284,17,0,10,0
66.78,27295.150091853597,0,1051,8,0,11,0
578.4,83278.06307743934,1,2837,7,0,11,0
247.58,89922.07939580549,4,52,5,0,11,1
76.23,122042.10195975713,0,1720,9,0,3,0
59.53,93557.23192462027,0,1677,16,0,3,0
329.92,70660.21233368442,0,703,13,0,10,0
1437.79,91312.73110922729,1,137,21,0,8,0
237.44,48101.69473274193,0,1133,21,0,2,0
1168.21,109846.90645561568,0,1630,6,0,4,0
913.52,66838.89621112791,1,2428,20,0,8,0
108.58,64751.348184405855,0,460,12,0,1,0
4398.47,97336.93798569278,1,4,23,0,4,1
294.27,38379.32177048694,2,1302,7,0,5,1
29.15,43745.96390130139,0,1307,22,0,5,0
92.47,70708.40422105405,0,2791,18,0,6,0
269.78,81837.64200338145,2,881,10,0,6,1
183.75,89255.01717341658,0,2184,9,0,12,0
727.2,72189.50110986226,0,723,14,0,8,0
102.58,67842.5964903846,1,3611,14,0,2,0
1317.84,90863.69556094182,2,872,11,0,11,1
45.12,89356.26143591928,0,1400,8,0,10,0
275.7,88498.4874635496,0,2039,21,0,6,0
219.0,47091.51267690344,1,2776,7,0,2,0
350.4,69212.57202358908,1,3590,15,0,3,0
327.72,90031.4984496063,0,1307,20,0,12,0
248.12,84784.42595680238,0,2190,6,0,9,0
93.52,78084.50322603607,0,119,11,0,8,0
196.58,52094.535669860896,0,1486,10,0,1,0
10.63,106277.93925554433,0,1065,6,0,1,0
1101.13,56107.36442152671,0,1104,17,0,7,0
82.07,77319.0958823063,0,348,9,0,5,0
52.63,68430.51204343514,0,2573,16,0,8,0
102.54,70215.59063065196,0,1450,14,0,9,0
125.94,53793.38607367888,1,2947,9,0,7,0
285.18,126622.77219099994,1,356,13,0,5,0
143.41,68670.75056804476,0,312,22,0,2,0
472.72,60858.512331294616,2,3265,20,0,10,1
25.76,63125.017908849986,0,2608,14,0,3,0
325.52,93599.31423088134,0,2259,10,0,9,0
184.09,43950.341789669226,0,805,13,0,4,0
283.79,67834.50347354713,1,2941,16,0,7,0
406.72,90714.03000149713,0,3535,19,0,6,0
95.16,65434.185992906874,0,3411,7,0,8,0
474.47,46898.97781515472,0,1728,21,0,8,0
140.35,70814.02457788985,1,686,9,1,10,1
123.11,57968.129075026736,2,395,9,0,12,1
111.55,60691.012187544315,1,462,20,0,2,0
213.08,81325.45301191216,1,3626,12,0,6,0
421.18,63997.29119626507,0,2446,11,0,7,0
211.34,11120.118370005068,0,127,21,0,3,0
50.46,27635.66992915263,0,391,14,0,12,0
302.25,85666.41138993915,1,1704,17,0,6,0
70.62,62827.45693741442,1,3625,12,0,2,0
50.01,58193.22432948138,0,892,14,0,2,0
36.48,38092.64637787809,0,1718,16,0,8,0
41.3,108596.8378668114,0,1542,8,0,7,0
62.91,36240.12534378439,1,1378,10,0,9,0
292.7,59817.13937098498,0,3062,21,0,9,0
257.51,18501.346483134592,0,2052,7,0,4,0
199.63,102715.19790162469,0,2319,14,0,9,0
241.89,73515.42778884842,0,3092,17,1,7,1
45.5,52488.052420834385,0,1415,18,0,7,0
67.52,121358.79285252425,1,2647,22,0,2,0
1277.18,79415.29329438455,0,2167,14,0,8,0
187.49,67565.05064050067,0,929,22,0,5,0
88.74,74801.93440805945,0,1515,17,0,4,0
120.42,86409.50260282138,0,2799,6,0,9,0
195.87,70758.0053821823,1,516,18,0,12,0
226.44,130294.34675571253,2,2201,8,0,6,1
663.85,107895.60668695265,0,919,21,0,9,0
586.99,83998.30814723526,1,898,18,0,4,0
390.55,100713.4397595296,3,46,5,1,9,1
691.51,22459.53488941863,0,233,18,0,7,0
366.55,51998.45320325647,7,41,4,1,11,1
82.03,37777.59499506949,0,1341,13,0,8,0
1055.96,52886.74864604716,1,3383,18,0,12,0
207.69,71914.52568063521,0,2781,12,0,10,0
332.2,66481.75326790416,0,2030,12,0,3,0
155.93,93849.83552813277,0,1396,13,0,10,0
66.7,90051.28801501976,0,1561,8,0,1,0
509.67,41240.74002232583,1,530,15,0,8,0
